ensembl_gene_id,Hela_2017NG_PR,K562_2014NG_PR,K562_Amit_PR,Hela_2017NG_IE,K562_2014NG_IE,K562_Amit_IE
ENSG00000105968,5.6388320615364,2.679654370428631,1.954060216152936,4.75850329131014,9.497718090801548,9.622343276728913
ENSG00000113648,1.7307516462983084,2.215071635164846,2.3686735982501212,1.151414168956415,1.853293308545211,5.158658780837267
ENSG00000158406,NA,0.22341137501297614,NA,NA,0.3453693115746905,NA
ENSG00000163041,1.5370711776901826,2.2968467765803613,0.6148856314014732,3.7764121286355747,4.767930014431448,3.6225271592155788
ENSG00000164032,3.6998723994856935,2.143027563270971,1.1802666096805148,2.2291471710995356,1.042026692000155,12.660098574348263
ENSG00000180573,0.5974696788296404,0.7221578208112455,0.647303542025918,0.5854022523153157,1.4025628230123097,10.924265468138554
ENSG00000180596,NA,0.3401156671493877,NA,NA,1.5013522297644077,NA
ENSG00000184678,0.0037821742359778732,0.0169525879583547,0.018635124658402783,NA,NA,NA
ENSG00000189060,0.7179206234381883,NA,NA,NA,NA,NA
ENSG00000196787,0.01246593038289747,0.036129504967920986,0.27619700866315283,NA,NA,NA
ENSG00000196890,0.032993516482455694,0.0826031001607819,0.07555630261988457,NA,NA,NA
ENSG00000220323,0.0279939647398109,0.04423452246173125,NA,NA,NA,NA
ENSG00000261716,0.03406280185935718,0.04038688843154625,0.008420458193053674,NA,NA,NA
ENSG00000273983,0.004763115729931159,NA,NA,NA,NA,NA
ENSG00000274290,0.018963785452631093,0.029115395168512855,0.04943236723548885,0.03975280039209419,0.10837873941994369,0.29501641453280325
ENSG00000274750,0.037938076063167105,NA,NA,NA,NA,NA
ENSG00000275713,0.01587635794441134,0.0340792485810936,0.10950347906007461,NA,NA,NA
ENSG00000000003,2.082129540433193,NA,NA,2.688453071239495,NA,NA
ENSG00000000419,2.028272813717743,2.422934162569054,1.745097683801842,1.8205805198467067,3.9038771767541367,7.044661661719411
ENSG00000000457,0.31185850936900106,0.2273139092373203,0.22767915194808447,0.9773884283150378,NA,1.1114431576100587
ENSG00000000460,1.886044535589455,0.8925795958088759,1.1620731059900724,1.3098645023778202,0.9402914913966139,3.3127579618631295
ENSG00000000971,23.90747379566596,1.1773050545129817,3.5575278199206077,4.150710225362802,2.2469473314328696,8.279837211458377
ENSG00000001036,1.9414639137547023,1.2043966744276215,0.9551677506720873,1.7546417928389595,1.4872339160241195,6.141707070260373
ENSG00000001167,0.39814104090703617,0.3557335407282226,0.313922650502773,1.0076493323052482,2.287587664749845,1.3270863277270146
ENSG00000001460,0.7343256373897299,0.19349354609625596,0.16845868848645137,NA,NA,NA
ENSG00000001461,1.2627368678815767,0.2550492947568936,0.2919205167827501,1.3877104928455983,0.7421623420491651,NA
ENSG00000001497,1.5430752378047234,2.4412407338585655,1.0456810088014665,0.8019170665153819,1.8414427858157227,7.686569029370118
ENSG00000001617,NA,NA,0.17114059221658065,NA,NA,NA
ENSG00000001629,1.972795249531486,0.32642349931703707,1.0376623005195895,3.042084206855167,NA,NA
ENSG00000002330,0.6853659128637791,0.947883032167667,NA,NA,4.235296968340697,NA
ENSG00000002549,1.746917845085684,2.4803204828603813,3.586009541608245,3.217655231377812,6.227774205677916,15.564544135400851
ENSG00000002586,0.8013370490122177,3.4339031164096205,1.2226984654987916,1.4851734329001811,NA,NA
ENSG00000002822,0.6608700962263507,NA,0.9893414747074821,NA,NA,8.716191627998294
ENSG00000002834,0.8274346024677647,0.9723200764370358,0.852811680042764,3.4642508252424773,7.1208714187098225,6.975516128794346
ENSG00000002919,1.3973802287499035,0.50596322916529,NA,1.624752008875407,0.9728852592278894,NA
ENSG00000003056,1.2682536262279662,0.9896967528080481,NA,0.8958436102222797,0.5283382226919412,NA
ENSG00000003096,3.1823860466812697,NA,NA,6.710339404815826,NA,NA
ENSG00000003137,0.5161143149827665,NA,NA,NA,NA,NA
ENSG00000003147,NA,0.9716133305290833,1.2487647367907877,NA,NA,NA
ENSG00000003249,0.273933131883276,0.4174348613466552,0.04122900251204056,NA,1.4804614788735213,NA
ENSG00000003393,0.370195526843551,0.40638898026865306,0.9103372244883631,0.7018542507261722,1.1139577233812057,NA
ENSG00000003400,0.35449996567240333,0.19732603265158663,0.43406809325417195,0.49675514822375483,0.509980505132019,NA
ENSG00000003402,0.45331652545049045,NA,0.45789382236014037,0.5807059263378442,NA,2.2829808034122205
ENSG00000003436,0.6723038425125931,0.9603846407484459,1.3151900989012815,2.215019745991998,3.7520152935295434,13.632823463485689
ENSG00000003509,0.7957894285795128,0.7434201375747259,1.3375194700537505,0.903499222202094,1.0182649380522508,NA
ENSG00000003989,1.8340618561193829,NA,NA,2.6550973264191007,NA,NA
ENSG00000004139,0.2989442885635008,NA,NA,0.30853463889797256,NA,NA
ENSG00000004142,2.2813097226181336,1.091190351060343,1.084397125523572,0.8876983234631216,4.327488795721695,3.659488259332414
ENSG00000004399,0.071290770547122,0.5386713999296794,0.07246721030700665,0.35909151873446427,0.8328880309582551,NA
ENSG00000004455,2.343890017627008,4.333588383139625,2.064566898677842,4.088526676452084,4.397601207740397,5.652470085807478
ENSG00000004478,0.526521619179036,1.1059312324305992,NA,0.9335403146510792,1.8713582724585798,NA
ENSG00000004487,1.3332898165010894,1.9018986077370186,2.5395595697799704,2.2254851359751373,4.339265142360373,11.676391252471703
ENSG00000004660,0.7328310881066439,0.3665490773847312,0.13143160876159907,0.6963434129374789,0.861225270533116,NA
ENSG00000004700,1.1554923379609099,0.7816668583275863,1.2828104700405725,1.129289875929449,2.3611528012320857,NA
ENSG00000004766,1.8784588472260582,0.6993287942216105,2.0810481510828094,2.418914323857392,NA,2.3816170181876486
ENSG00000004779,3.741219072306184,4.768784934846077,3.8981859247060395,2.519072845020927,10.095225138076033,22.243361122018655
ENSG00000004799,1.6204555717838296,NA,NA,1.116527002886977,NA,NA
ENSG00000004838,NA,0.10100424591388124,NA,NA,NA,NA
ENSG00000004864,1.3462692447365203,0.9467393074108704,0.848766783691255,4.401128735372009,NA,NA
ENSG00000004866,2.3067795123620316,0.5646015697522764,0.672144184113781,5.008430704249448,4.053811312315503,4.3795789254794
ENSG00000004961,1.11402931891901,1.7370160326308324,1.3149066277775672,1.8711278234853195,0.936909818885983,3.3210901387620635
ENSG00000004975,0.0950713731118627,0.31530143954503487,NA,0.21795223116766282,0.625889243382046,NA
ENSG00000005007,0.16880107179896867,0.3559570192743287,0.712618026351064,0.32708189726145126,1.0710840443680496,1.182974334880272
ENSG00000005022,1.7940475715997037,2.514938054545512,NA,2.8807646798844186,3.89602746958826,NA
ENSG00000005073,0.04737226944434256,NA,NA,NA,NA,NA
ENSG00000005075,1.5437217935571534,5.530516694112103,1.7792099666722332,3.0437655552006584,3.9371320295337564,2.6723350221066364
ENSG00000005102,0.14406054344431662,NA,NA,NA,NA,NA
ENSG00000005156,0.9919025980034366,1.0301146891875417,0.30201468794221276,0.7040211816856929,4.012810400354711,1.4224881391301347
ENSG00000005175,0.9351282029325748,2.2264521463384646,2.884559497073412,0.9337098369545052,2.085922826283092,4.72784776342375
ENSG00000005189,0.5290936189272647,0.48033054685509013,1.0704684150316872,0.36463018658895785,1.3285299927353025,4.642069036129375
ENSG00000005194,1.7436777909442214,1.2434666903730633,2.2232128179424477,1.7054976437983034,2.283778856217026,3.0190904905062266
ENSG00000005206,0.1839674466497968,0.76667195470823,0.36316277857452484,0.036305428080304375,0.4594883364926766,0.5535965644900419
ENSG00000005238,0.7094345302203532,0.18795737591032688,0.09233705110049223,0.6539689907325124,0.5711095909897311,NA
ENSG00000005249,NA,1.0871101167113102,1.661261947163524,NA,9.637223037325125,11.078628450755355
ENSG00000005302,0.8044256963546613,0.7988585933068011,2.8425769757206587,0.1799649471491835,0.3711336098700396,1.2565057298184565
ENSG00000005379,NA,0.046558951031210445,0.00634005053600909,NA,0.1875997695680305,NA
ENSG00000005436,0.40388060739972736,0.4936681277479039,0.45759588844743637,0.3182149030483233,0.6496017565712853,1.5635217689573364
ENSG00000005448,2.022207754228831,1.054098357825596,NA,0.941506159960461,NA,NA
ENSG00000005469,NA,0.4089224567057829,NA,0.49996581446129534,NA,NA
ENSG00000005483,0.07050755679563367,0.11360638755669333,0.25987487404381404,0.33329477712638866,1.5599455635730297,1.46581592104804
ENSG00000005700,1.3947933292311765,0.28611625954957987,0.5610959830876872,1.7414638009646692,1.839237981935843,2.9395763614224504
ENSG00000005801,0.199155828668727,0.6721547120907767,0.27346018703472497,0.3237178449540568,0.4286645823012236,1.0410305711012136
