response,covariate,est,pvalue,z,se,ci.lower,ci.upper
Transcription_rate,H3K27ac,0.844074096916873,1.60870354148912e-07,5.23966270791249,0.16109321228678,0.528337202680918,1.15981099115283
Transcription_rate,H3K27me3,-0.469053188779979,0.0140179113949785,-2.45680407541555,0.190920062968653,-0.843249636124658,-0.0948567414353008
Transcription_rate,H3K36me3,0.239591508703149,0.0233135289959772,2.26825729755116,0.105628011849368,0.0325644097198182,0.446618607686481
Transcription_rate,H3K4me1,0.651500613881363,0.00113419281277616,3.25493259470479,0.200157943344585,0.259198253706369,1.04380297405636
Transcription_rate,H3K4me2,-0.646198659272522,0.00121618759678088,-3.23505627066586,0.19974881584966,-1.03769914429238,-0.254698174252665
Transcription_rate,H3K4me3,0.528409812499446,0.0118503713049591,2.51656894278538,0.2099723172752,0.116871632889636,0.939947992109255
Transcription_rate,H3K79me2,0.132059162170288,0.207581010439712,1.26024495445241,0.104788487114133,-0.0733224985678525,0.337440822908429
Transcription_rate,H3K9ac,-0.35047857054786,0.250785984073208,-1.14844238671473,0.305177320692987,-0.948615128004545,0.247657986908825
Transcription_rate,H3K9me1,0.144499086869679,0.33536786919772,0.963358053151663,0.149995203130284,-0.149486109119448,0.438484282858806
Transcription_rate,H3K9me3,-0.466433736035661,0.00578691459686786,-2.7596170859515,0.169021179934765,-0.797709161332265,-0.135158310739057
Transcription_rate,H4K20me1,0.328102093424042,0.0223497969710085,2.28436996873233,0.143629139725609,0.0465941524313764,0.609610034416708
Half_life,H3K27ac,-0.349423754866462,0.0254819531175876,-2.23401702131689,0.15641051591473,-0.655982732862661,-0.0428647768702634
Half_life,H3K27me3,0.377633586982412,0.0416315683555517,2.03718438188365,0.185370352502525,0.0143143722759683,0.740952801688855
Half_life,H3K36me3,-0.293335911023266,0.00423364950466931,-2.86020671196433,0.10255759130843,-0.494345096328966,-0.0923267257175654
Half_life,H3K4me1,-0.6460229055865,0.00088674441657588,-3.32419414294431,0.194339703942292,-1.02692172607957,-0.26512408509343
Half_life,H3K4me2,0.280794151972405,0.147666869319247,1.44782188928264,0.193942469064016,-0.0993261024658406,0.660914406410651
Half_life,H3K4me3,-0.257975001841101,0.20572897107958,-1.26539722053081,0.203868791281907,-0.657550490325353,0.14160048664315
Half_life,H3K79me2,0.485650923792717,1.81199741677851e-06,4.7733352984608,0.101742470081521,0.286239346734791,0.685062500850643
Half_life,H3K9ac,-0.100876359868938,0.733520562000232,-0.340446159709609,0.296306352684319,-0.681626139520626,0.479873419782751
Half_life,H3K9me1,-0.0415953828870633,0.775174002417209,-0.285613708980969,0.145635106366112,-0.327034946249303,0.243844180475177
Half_life,H3K9me3,0.232289990656036,0.156930746678642,1.41546997154241,0.164108031485057,-0.0893558406284416,0.553935821940513
Half_life,H4K20me1,-0.217064202717761,0.119582586589116,-1.55652801356068,0.139454093229719,-0.490389202944703,0.0562607975091796
