V1	H3K27ac	H3K27me3	H3K36me3	H3K4me1	H3K4me2	H3K4me3	H3K79me2	H3K9ac	H3K9me1	H3K9me3	H4K20me1
ENST00000000442	1.55846333852924	-0.461399406613874	-0.296481307129763	0.204668287672874	0.790932661461561	1.55905570027024	0.339507605426367	1.7030400199921	-0.357532407644489	-0.204749805805647	-0.0271493812189647
ENST00000001008	-0.252478793752667	-0.63711919848814	-0.868356557371666	-0.470298095017555	-0.399176898353735	0.12924926511099	-0.149164917955419	-0.120493812034791	-1.0999578588894	-0.897121286734546	-0.836934886893754
ENST00000001146	-0.649099132112889	0.900428980411689	-0.502828337203753	-0.488996965821923	-0.934759176737105	-0.702996023878399	-0.657234821068239	-0.814980679597639	-0.9620066601738	0.0291202289654542	-0.945238763095371
ENST00000002125	-0.0389644449524606	-0.185689807796228	0.544675691010279	-0.0846142430064601	1.531276565397	0.522907705147102	0.62513805329927	0.63446228851389	2.86745661563243	0.0636955452435442	0.528271629332266
ENST00000002165	2.18725516160122	-0.258141438401103	2.75724636350806	-0.512959804457772	2.53260511763258	0.0620665019022059	2.37880237288282	0.0356350195993056	1.82928859455678	1.45165194132201	1.48588402973044
ENST00000002501	-0.620161744666125	-0.325019866651757	-0.748513085756641	2.30852695321639	-0.479826590237619	-0.445535460498218	-0.49497079409257	0.00767368254194699	0.0528491583323817	-0.534837476760816	0.131919339487746
ENST00000002596	-0.647775050611071	0.260166380541462	-0.889306637935946	-0.631909764112447	-0.932489728903099	-0.704736244775168	-0.654600170093447	-0.801477399750427	-0.070779915932293	-0.118635948373085	-0.928157837109621
ENST00000003084	-0.622125109268039	-0.161757821216338	-0.64612801461185	-0.624288795759406	-0.922544915863964	-0.705708721158656	-0.646438465772501	-0.817253959033197	0.163303118112982	-0.625338907840821	-0.578767703868258
ENST00000003302	-0.50461494485903	-0.46041590031607	0.381974662111874	-0.576520251855811	-0.159536175356102	-0.492378112401828	-0.280112785103488	-0.55928220868612	-0.252968499045004	0.285885982558776	-0.539265465061797
ENST00000004982	-0.589881655821422	-0.370916827215931	-0.048346750768955	0.391892695768706	-0.923226676519404	-0.691725534423444	-0.616559619151391	-0.570830468218752	-0.0684238954598467	-0.532458299501287	-0.71693203097197
ENST00000005178	-0.631569534355226	1.92917656791439	0.108046726991817	-0.635366698210733	-0.886261539677028	-0.685911149309534	-0.640809835521295	-0.742735859135619	0.13431786624802	-0.00950277849443157	0.168055264413803
ENST00000005257	-0.0680859624830722	-0.440090103494793	0.109060440567508	0.112823834016127	0.28192237514606	0.332025945958591	0.217942904882496	0.160483526200129	0.904984562892907	-0.840144626129723	0.286582760548497
ENST00000005260	-0.284583632417063	-0.295514677717645	-0.579814251535397	-0.175830163190791	-0.330211620746645	-0.438103693609664	-0.335312214731491	-0.433706252665918	-0.3548663844783	0.0254742170612411	-0.14644572682017
ENST00000005284	-0.639634018252237	0.96140637087552	-0.277558653716864	-0.00353342506483254	-0.914056254659545	-0.692094051789818	-0.623016101178772	-0.817299424621908	0.499160036514056	-0.380098259673529	0.619889394139044
ENST00000005286	-0.646775782852668	4.78986855279283	-0.889306637935946	0.349780953116853	-0.877407914208692	-0.698624998449456	-0.655965109755086	-0.591426379904904	-0.172491799749343	-0.674590966953667	0.239558264799406
ENST00000005340	0.895179192334894	-0.329281727275573	0.0598390147256232	-0.554285880269105	0.437004398153891	0.315319825349611	0.317936479927215	0.166848708619691	-0.619980688167241	-0.380561735763048	-0.646800491796902
ENST00000005374	-0.118396921797466	-0.465005596372487	1.54861819418003	0.1997185865776	1.641266049401	0.356092177301552	0.778887396208936	0.265008914647068	0.371066923459484	-0.344812280058177	1.2097008335302
ENST00000005386	-0.306675104723959	-0.440090103494793	0.207193546436484	-0.248032945834547	0.900988839442724	0.0196358218015795	1.13529282238829	-0.264392400305587	1.174500904833	0.743027898853986	1.87030876298637
ENST00000006275	0.1290945996658	-0.569585099372284	-0.0601734091520167	0.289206039712788	-0.0652642386367554	-0.281033402786019	-0.322278628101978	-0.0557962792988214	0.261728973376358	0.218836441608414	-0.375833004139749
ENST00000007264	-0.393402443093044	-0.435172572005774	-0.351221840217077	3.59214943725739	0.0815921938543537	0.374231421001988	0.00984864805857882	0.86492735769072	0.925351739871816	-0.998962432804773	-0.0732595694943653
ENST00000007390	-0.377912758399119	-0.356164232748875	0.475320787206754	2.23923113788255	0.794211782005389	0.247348844440526	-0.19057020387733	0.412408353248623	1.87216196710143	0.524267184601192	0.323342076933888
ENST00000007516	0.699256507612749	-0.28633528560481	1.19899964540838	-0.448535123535161	1.97604017298966	2.53552435522771	3.25582118023762	0.847923227512749	-0.280000733939386	1.54172079471846	1.15133061322123
ENST00000008527	-0.126837941371557	-0.209293958943518	-0.196602361213764	0.398570863913123	1.24467957725593	0.805621944717451	0.0109774214159716	0.531028074196019	1.48310858645407	-0.381056110258534	0.935990423451974
ENST00000009041	0.121772842736216	-0.505985025447643	0.206771165779946	-0.313871827070093	0.183081900991076	0.0289204121155163	-0.0228578456569228	-0.183963773875559	0.446893582349001	-0.406794482429802	0.0900066537051939
ENST00000009530	-0.630266141626874	-0.217489844758549	-0.641284716416882	-0.623503128918886	-0.919249121825845	-0.700774683086641	-0.646251818209468	-0.750510474805226	-0.777555057396765	-0.464080127094305	-0.639465252292073
ENST00000011473	1.6709357865993	-0.398455003554435	-0.429615690070514	0.781662015350503	1.2067714616809	2.38894657275223	0.367784076370278	4.0207393357205	0.449497604976442	-0.330351826065196	0.977030361191458
ENST00000011619	0.708022340930254	-0.63711919848814	-0.547178306140234	-0.107634281433686	0.388940271945372	1.79135471680184	0.88980937652596	1.86176039018273	-0.814011374180932	-0.192606732260259	0.085435116336745
ENST00000011653	-0.633948743303805	-0.56860159307448	-0.50142040168196	-0.498660667960314	-0.922448580119173	-0.705104762141542	-0.633586447860769	-0.777607965677072	-1.41616060650717	-1.04923413931456	-1.07856141653159
ENST00000012049	0.0911038049503542	-0.467628279833297	0.21980864871175	-0.274588485044111	0.903186035468136	0.805376266473201	-0.0165321438947959	0.607864919117866	0.910192608147788	-0.4266312590612	-0.1199931492291
ENST00000013070	-0.11121584852745	-0.380424054761367	0.663223861945255	-0.52969450816084	0.273665290251234	-0.333066007599404	0.100583488207788	-0.423340098439775	0.596097878847466	-0.805538411445665	0.466348077705094
ENST00000013125	0.128180155878607	-0.380096219328765	-0.6351742762523	-0.317093061116224	-0.0269263174311163	0.576086808433653	0.189445504170096	0.201448021628877	-0.114149292786927	-0.703017500444143	-0.773764552347915
ENST00000014914	-0.627266269474317	1.23416545079975	-0.887025782390642	1.85087601861369	-0.396383161754813	-0.622649001415235	-0.615397833299856	-0.408609247697362	-0.560615172315473	-0.952336738199199	0.0964068060210223
ENST00000014930	-0.638297523486339	-0.447630318444621	-0.607719533577335	-0.449242223691628	-0.431373415828984	-0.63898660465784	-0.561810937039557	-0.648349296971267	-0.508968723537903	-0.684293066427591	0.190663594672314
ENST00000016946	-0.471179818060777	-0.63711919848814	-0.571113210010716	-0.68643504284451	-0.711473299028124	-0.708861591959861	-0.397420143614358	-0.842260032824331	-1.00308201709474	-0.321607577176278	-0.704090166909691
ENST00000019317	1.33771412564801	-0.38403024451998	-0.461716619967396	0.223367158477242	1.12170699903094	1.94149483381895	0.25448011762978	2.34251352521445	-0.532249925837996	-1.05847276269897	-0.142788496925411
