ensembl_transcript_id,K562_PROseq_1_PROseq,K562_PROseq_2_PROseq,polyadenylated_mRNA_1_RNAseq_ex,polyadenylated_mRNA_2_RNAseq_ex,gc_gene,len_gene
ENST00000333319,7.946469334779806,7.952458140126749,4.687692391474115,4.952086463845098,0.6119651456877253,-0.7071172864838732
ENST00000366221,6.964957332196498,6.962723678577157,1.9244231349323508,1.3218141375837524,0.15108910775164275,-0.825713392407288
ENST00000409786,4.85507944658537,4.986896416431521,0.6149545370453886,0.546158445600099,1.4543499433862155,-0.815778640078625
ENST00000411553,7.95244489770819,7.93082612006938,4.368421709550837,4.403991890191364,-0.6470412123323743,1.4065012714391845
ENST00000443493,5.550164090375648,5.761094565059228,0.20601079567921926,0.41044867097901616,0.7011551262966814,-0.8263343144278295
ENST00000445551,6.681880058750969,6.764436901581864,4.010399167126919,4.217265582033262,1.2435450312745695,-0.5723772080263809
ENST00000513358,6.163817848262511,6.158576620830265,1.5753444394167997,1.4728609043319105,0.8000479009127524,0.051649422617765034
ENST00000525716,6.808001764859091,6.734376382298731,0.8336268057960257,1.2702743421028,-0.6015932600257352,0.34969199247765564
ENST00000538077,7.086341944620915,7.040030051644682,1.5954024877671928,1.5470301106654953,0.19843609092677447,1.759805901127263
ENST00000538868,6.353719185962386,6.240388938158733,1.562916810390733,1.6177726617991817,1.428043788009743,-0.5090431619311542
ENST00000555379,9.596437942952324,9.602325734561287,2.467254145987025,1.7212245706674274,-0.6653712868842934,1.2382314038724547
ENST00000561746,4.6639296152963805,4.712719578421666,0.5081822909946653,0.4542908442588549,-1.4064459185700753,0.44034660747670573
ENST00000562038,7.105635121594563,7.153156100103921,0.432486783861505,0.46715273693191783,-0.31974569637370753,-0.17560803690040158
ENST00000563225,5.12483989712392,5.146253421317899,2.17888945268013,1.4177782127775052,-0.40385153878956526,-0.0657048392645669
ENST00000563286,6.1202601046252525,6.1092706936924,1.7397156396316311,1.6065870790319252,-1.1212930882253096,0.48877852507893793
ENST00000565493,8.76136459924961,8.71980266649009,7.227276530781544,7.245752804286617,-0.6447543298549532,1.22332927537946
ENST00000565617,7.05913665007309,7.07873432123831,1.0866983211289543,0.47685132177200756,-0.5873863749558791,-0.3761658495352863
ENST00000566551,7.5469698756680454,7.621720619735933,2.920500913934962,3.2308748405990175,-1.286409824862561,1.2500289222627419
ENST00000568248,7.107965714151538,7.0872847543135595,3.5171255969586426,3.504755138740093,-1.2636749307422273,1.752354836880766
ENST00000569087,5.816548380596548,5.750746502875482,3.8278376346067224,3.203295420139849,-0.7952132896866208,-0.8070857317910448
ENST00000581471,6.789298777573794,6.578282357719514,5.838429485367323,5.34047541871407,0.3253266019844981,-0.8673151677835644
ENST00000581677,7.776300790590693,7.730361262685121,0.9826806798367341,0.9690896673652738,-0.014766108580199368,-0.8070857317910448
ENST00000582866,7.693957407613184,7.714474421387197,3.2401140094374776,2.971640584530619,-0.4274079915825006,-0.46495769847271207
ENST00000593427,8.658280723467985,8.62052670723161,3.2259024984724465,3.4689707032663724,-1.2471021494711936,0.5136154059005955
ENST00000595909,6.7335581450402335,6.460547718502554,2.409669809593444,2.7413684829937983,0.014286644753211435,-0.8455828970646141
ENST00000600723,3.564516468820226,3.7999505008762515,0.23046383940375834,1.2818589872059678,0.8185329439909702,-0.7890789931953431
ENST00000602585,6.603904467079111,6.7966910303309875,0.18745001562793492,0.9140910244640186,-0.48330058766099776,-0.6468878504913537
ENST00000606034,6.050407124062966,6.1429787165304095,0.3632181541267965,0.622407016305851,2.079188839614756,-0.8350272227154096
ENST00000606125,1.8655493393962386,2.3212400484447206,0.4705788151064376,0.4464135753887897,-1.4404860340808836,1.1929040963729296
ENST00000606343,10.09402570339836,10.135474137666353,2.74847016990221,2.957626267162565,0.5634740516364052,-0.12965980738033508
ENST00000606924,5.4601485408937656,5.307289928903476,3.5433354385061016,3.2827357390049894,-1.5008294874056642,-0.5543704694306792
ENST00000607056,6.970969311120701,6.8873401850037395,3.465358914298508,3.320780404962842,-1.3759626511522793,-0.5674098318620494
ENST00000608317,7.529704357117404,7.560338370692997,5.6954350566490595,5.5976348551117345,0.08792553196771166,-0.7294704792233649
ENST00000608373,6.701430680425662,6.732829182901456,1.3478718787036552,1.8375793783119663,-0.6604166989005702,-0.35753818891904315
ENST00000608477,7.3573413307309705,7.33642495505799,1.2997768794322784,1.1676317313566713,0.4943030246328425,2.2497133753344585
ENST00000608694,9.293836879618032,9.291582628578837,1.8068822986430029,1.4704654709727532,-0.12354849540404056,2.26772011393016
ENST00000609602,6.68287671843764,6.5951957406558614,0.9458938732277196,1.6913848250202241,1.5138245850499845,-0.8089484978526692
ENST00000609755,7.370129674653579,7.3903984367415125,0.9327447282617503,1.4940143197124147,1.4304963196726648,-0.2513605234064571
ENST00000609803,6.494520950082653,6.520809284543907,3.139010651367513,3.2300438204804927,-1.0593687428424596,3.9113007023033486
ENST00000610036,6.803559578860769,6.835224005403153,3.823205278168209,3.7516908151080264,-0.7127493872344395,0.011289491282571512
ENST00000610177,5.970859436675104,6.0705574123273935,3.946937849433666,3.1404185775905034,1.5977918236631123,0.006322115118240002
ENST00000610778,3.597346463123389,3.2038620744196398,1.0022353486918996,1.2501826723990064,-2.101869853112682,-0.08557434392189295
ENST00000612055,4.785972158107723,4.8518136999681944,1.268652605691001,0.532699970128953,-0.7702300670443825,-0.5071803958695299
ENST00000612143,6.420695221313813,6.37552150851924,1.388109796918911,1.9453144850453363,0.47192200707830145,-0.23832116097508688
ENST00000612330,8.039426932464051,8.068852886810436,4.0032769001132396,4.05657324965014,1.1607273641903777,-0.7046335984017075
ENST00000612792,7.980917574099347,7.947223442408904,2.563167378877563,3.303855218905914,0.13439719205773623,-0.19609846357826904
ENST00000614046,3.3670555176895345,3.5918423055460513,0.2046263842488424,0.2048634917770885,0.49583645361033846,-0.8853219063792661
ENST00000620266,4.003142141591754,3.956740569805723,2.34419457291872,2.328907484547525,-0.4481956541712612,-0.3165573355633082
ENST00000621230,8.920994197584404,8.94096680415548,1.454459400381819,1.512702497525665,1.2650592871000332,-0.1122739908051748
ENST00000621929,4.493509284370824,4.569684406979,1.4694357582935487,0.9091551220701831,-0.12348378382058721,-0.5425729510403919
ENST00000622160,7.834845875699002,7.867832423041016,1.0363813073556971,1.8519809155429134,1.5813870195693662,-0.7313332452849893
ENST00000622757,3.207638715296758,3.2521881272748248,1.7818221472292441,1.5957090218294325,0.1513754204984667,0.15099694590439525
ENST00000623122,6.018450748586931,6.099236965942342,1.769077682364808,1.8828415047443614,-0.3401743730180738,-0.5891421025809999
ENST00000624034,5.9551976019771615,6.0351563486813316,0.9566700439282223,0.4851183262991885,1.7964461567160022,-0.5326381987117289
ENST00000628855,6.126244555352525,5.97837554480252,1.8274991724254894,2.107721734476741,0.0017394147526399633,-0.48731089121220383
