ensembl_transcript_id,H3K27ac,H3K27me3,H3K36me3,H3K4me1,H3K4me2,H3K4me3,H3K79me2,H3K9ac,H3K9me1,H3K9me3,H4K20me1,K562_PROseq_1_PROseq,K562_PROseq_2_PROseq,polyadenylated_mRNA_1_RNAseq_ex,polyadenylated_mRNA_2_RNAseq_ex
ENST00000371588,1.43765465267981,-0.419903091918501,1.07488156031186,-0.464920307447095,1.48842101125919,2.41253161280743,2.66682467824784,2.24911746528098,1.36698718429787,1.45566507169215,4.81311849593992,6.685560136027165,6.658264132879565,7.86372646565621,8.007110978465724
ENST00000367772,0.691184379460379,-0.443183293608491,-0.564764501341639,-0.639703175962386,0.236043524535603,0.340152017645642,-0.472877512950439,0.471133403545875,0.537318561465825,0.175823146746935,-0.317900397444664,5.731774896622263,5.7294759612073545,3.342387462667657,3.7621886550421957
ENST00000496973,1.41538141411225,-0.208590491963204,0.265694586362164,-0.669986155909783,1.56499155979526,1.0288721198978,0.460563536384249,0.713838214822639,0.595688097668309,-0.182325470146028,1.94725209167324,5.811180701016552,5.909809633575449,5.898810644829516,5.502231924514275
ENST00000367429,-0.513579599992054,-0.627634122383029,0.201631305139187,-0.770611490853101,-0.811602549569445,-0.953216486212049,-0.181438171687896,-1.06849784004924,-0.461759764377193,0.872892546353642,-0.942257531521856,5.54925598360883,5.547522325893721,5.859317507594919,5.715966540282035
ENST00000002165,1.82676193562275,-0.229184516535119,0.64291301484085,1.87100225862652,1.53714919583293,0.862495720008281,0.886826582791032,2.31280596185715,0.628996608017938,0.548746472847626,0.743594807669997,6.572318512549017,6.581884423412426,6.905484562715378,6.812066150633182
ENST00000341376,0.346647508232585,-0.469149672416557,-0.543880436097144,-0.282427598892704,-0.363618787488946,0.14834888495815,-0.489378780662647,0.603869194217377,-0.928999229430437,-0.647763330538106,0.078997410410788907,6.3989561157845305,6.351201946850827,4.988754371678169,4.7990040793090625
ENST00000337248,0.329539915196269,-0.317380665245274,-0.526841578811517,1.07823994367813,1.30975639800837,0.630322866273837,-0.276644648288652,1.03211830989989,0.479409185342559,0.312178523780882,-0.29205524893036,4.953378183328214,4.967697015589694,2.764348789961326,2.4256309631821464
ENST00000374399,0.0871220414262998,-0.0711477627549926,1.06200540522024,-0.301026594450947,2.24994933249759,0.485602668627836,0.00847645159483094,-0.0746520043901646,1.13365062720461,1.71836492466135,1.16964065841858,5.896996629723667,5.892888577837143,3.979589544669055,3.868815114131331
ENST00000374807,0.137767612712807,0.24716422573699,0.0931541081344207,-0.557358905029307,1.07904813356996,1.05565540889156,1.80144021855173,0.769634664143324,-0.41967281559323,0.277347492027147,0.339458156300952,6.181269790562761,6.210977989055677,7.381116397427919,7.554460421294698
ENST00000450338,-0.73953470646932,-0.353644056339298,-0.74115018752825,0.492768998028456,-0.888759556117512,-0.627476038460458,-0.665662080072014,-0.674837326535836,-0.510430541986906,-1.25159326853249,-0.723193061846297,2.818049135257151,2.86516894052802,1.0490391889862454,0.8825369326699202
ENST00000265742,-0.0192826537685474,-0.418560003359463,-0.675217218031695,-0.494170009863479,0.0867449867077351,0.540324058556377,-0.283968643116941,0.25343631402518,-0.64660252850659,0.134985574333983,-0.30317499333907,5.628112741510414,5.643739198026076,4.12967750875958,3.9183449448089327
ENST00000309032,-0.313518893245174,-0.287832716946441,-0.0320797290580731,5.72385572311501,0.219489577828787,-0.684847930494615,-0.332042930501135,0.41429767228208,0.381749057760596,-0.546653229441288,0.0765477637464937,5.685639998729582,5.671757156555443,5.6878344529028375,5.513495090851215
ENST00000618908,-0.206586229373788,-0.451689521149064,-0.525218830498601,0.241921006653168,-0.105800332127723,0.0700721141119836,-0.394832500268166,-0.0639993644732934,0.0678490898748258,0.0447493830512645,-0.820050439505336,5.573254975583648,5.6217463093183,6.896814666965569,6.9107230261954795
