ensembl_transcript_id,K562_PROseq_1_PROseq,K562_PROseq_2_PROseq,polyadenylated_mRNA_1_RNAseq_ex,polyadenylated_mRNA_2_RNAseq_ex,gc_5utr,len_5utr,gc_cds,len_cds,gc_3utr,len_3utr,gc_intron,len_intron,exonJunDen
ENST00000005257,5.707565293491792,5.67885218081088,5.085363987747947,5.181499061389881,0.20531999871413342,0.438545356813203,-0.7214748306425582,-0.9780719588252731,-0.222789334913425,-0.032182379857681895,-0.18799098791950683,-0.10017093383327189,-1.1799754688780233
ENST00000008527,8.580556243130921,8.533257630492553,5.098976267969316,5.206903001402714,0.23337977819021155,2.0893156496838183,-0.22523811378315595,-0.3432517006624512,-1.2511396221003594,-0.6825753732170985,-0.737651808936206,0.12969905910997143,0.08243280533681398
ENST00000011619,12.366528905706547,12.349583773376864,6.229588974180646,6.297017266469784,1.252606491414923,0.6553131730487384,0.7661876456479426,-0.10435881403802087,-0.5645456502221018,-0.5637485207520797,-0.9051381811893315,-0.03172538681478709,-0.0035152829165712787
ENST00000012443,1.8835479399297144,1.8769142336700508,7.471663159031213,7.328133506080471,0.8889503582983389,-0.6063866804247624,1.5354530112305584,-0.48859212818920256,2.9959549042596074,-0.7519786675771979,2.275433449935781,-0.6276445908640141,0.9001033060215471
ENST00000025008,9.258163185142063,9.246738830746638,4.285269656692866,4.680243855288033,-0.27550832222203137,1.750268552494904,-1.4872949808737745,1.3406925630957711,-1.1263587329724072,-0.3218885555577939,-0.8182596359918278,-0.05297619994918568,-0.1871751262918294
ENST00000025301,10.013952838460984,10.004392075061826,3.6339807923735647,3.8215821451084526,-1.5914624711461285,-0.20064179362491413,-1.0401526599870665,1.8535605085062614,-0.6442679045264622,1.1024563264233376,-0.9863189885139556,-0.6349610929047034,-1.2899509039622434
ENST00000033079,10.11888762982556,10.092751719856155,3.9169017980873635,3.886991827327506,-0.6985710353652674,1.333407367426567,-1.0689601280376353,0.206368996536413,-0.24581476404695743,0.17287280802443003,-0.2127525793772075,0.0032488112283639396,0.0864460328388879
ENST00000040738,8.320656241484059,8.314475083328585,3.5120883627243953,3.9290097810883453,0.36430811091670606,-0.41185146072620504,-0.3721486993880823,3.7747270792621697,-0.6580809501480057,-0.34870346474237773,-0.585399063901191,-0.5397015546235842,-0.725000824797193
ENST00000040877,4.110353607345109,4.090117570115486,4.256481025375054,4.39241515576314,0.9389748263705966,-0.7564567070493639,0.32218194485974805,1.3857982130178663,-1.439298527496066,-0.8792180405707135,-0.13669320677891517,-0.08831951881601113,0.8417270391788331
ENST00000081029,8.25154029775228,8.22499566666396,6.987762092541954,7.110057279000248,0.8269635174261939,-1.1121782516410117,-0.5170166331591725,-0.7826141424961938,-0.2987245702053045,-0.5737383888796699,-0.4432768865541276,-0.6027948496987899,-0.010545363724201099
ENST00000083182,6.02935885117316,6.007438709578673,2.9837294833605696,2.708582592685897,0.4095323049935178,0.549708339498093,-0.8833617829304218,-0.34492228028919547,-0.32632249057266405,1.3075115143054494,-0.1463429423305998,-0.16831327446088126,-0.9779676483201971
ENST00000161863,6.405476637612872,6.387637845326044,4.3735576552414805,4.411241933279568,-0.2055367660118113,-0.056129916134557235,-0.7003448400802093,1.066717504309711,-0.6968646107755054,-0.06635824450470056,-1.4677931530157713,-0.18554330719454068,0.3670253185283246
