ensembl_transcript_id,H3K27ac,H3K27me3,H3K36me3,H3K4me1,H3K4me2,H3K4me3,H3K79me2,H3K9ac,H3K9me1,H3K9me3,H4K20me1,K562_PROseq_1_PROseq,K562_PROseq_2_PROseq,polyadenylated_mRNA_1_RNAseq_ex,polyadenylated_mRNA_2_RNAseq_ex
ENST00000493536,0.780951132579481,-0.0604264038569815,0.084561313723065,1.36018072482725,1.53445445162646,1.01530671178236,0.535305800192753,2.4695855585391,-0.613069764209819,-0.586972330537633,0.254012981218944,8.300911367966847,8.252841994156725,8.253566676669243,8.054995861824294
ENST00000359074,-0.313305809409168,-0.225300085475533,-0.471880004521194,-0.35783475468408,-0.486634253638186,-0.318932669093835,-0.183244345765019,-0.306904716330373,0.253086770281465,-0.126258100001255,0.323856234307416,6.56765715278059,6.529520618155891,5.1829677639024325,4.901855321374557
ENST00000321517,2.20139303824704,-0.473609842337413,0.462095362161424,-0.0258347701503186,2.54159004293481,4.28916308452569,0.628456824958836,4.79755502205301,-0.00291735301553659,-0.145716266704986,1.53776271084706,6.633706545512972,6.604725567445557,2.685127300964317,3.1448815784710007
ENST00000313064,-0.0338055376256304,-0.268766783356788,1.4134130914011,-0.105208793981101,0.260113829470296,-0.284775709049928,0.386984686423906,-0.198592461728532,-0.39284940817892,-0.452450516633097,-0.0325321989337608,5.895277325161452,6.01391721132555,2.0655610500278208,2.042714544443026
ENST00000415205,-0.236671534900578,-0.246783625807648,0.259200525454175,-0.290977785925486,0.519022009795338,-0.168413639696703,1.43131645519714,0.182810777541871,0.299808094148065,-0.551860809254654,4.42804387423,4.395403436467586,4.503965496503564,2.060578272559185,1.614443340010211
ENST00000359941,-0.289946194154987,-0.335215873221235,0.27819068258441,-0.316011896069863,0.094070743178947,-0.239364601684563,-0.0737305018318744,-0.249576755109442,0.569720871510176,0.649361789052727,0.00742702165964377,4.355668534291858,4.289332268218232,3.9838617234267404,3.9814640538682466
ENST00000397841,0.0826909014251358,0.0205115853012166,0.617474286504401,0.93499821920053106,2.36711249422536,0.510759616276644,0.666451806060494,2.07330211075507,2.45006642296036,1.0610220324003,1.36388887149575,6.5544958817328745,6.641464284415053,1.3079057421040559,1.558343739046812
ENST00000577000,-0.371337586959796,0.0854618235145854,-0.265014253022843,1.43746857281267,-0.438650705884361,-0.300826365654147,-0.247843538573926,-0.0331088796795867,0.774922493104572,-0.851266327104062,0.486801056060521,4.619480790910051,4.55406969330267,3.2415583743583163,3.146303373245471
ENST00000424751,-0.307210895503025,0.654525833707102,-0.345215926592783,-0.450520567242428,-0.339160172473295,-0.250971738866657,-0.189913540587188,-0.381540709559263,-0.219807467932254,-0.335446159892288,0.291069181512828,2.478980149557004,2.591800782911465,2.2172518033449466,2.5648882266943462
ENST00000466075,-0.159077086950786,-0.302241136897524,0.153309464358127,-0.0174900667688597,0.712246312329384,0.47475465049176,0.613372131580789,0.628590497855451,-0.834987890220496,-0.151691609236054,-0.0630992950287156,5.478447196231376,5.273421132128651,3.2719393262803824,4.5100102855172794
