ensembl_transcript_id,K562_AB_1_PROseq,total_RNA_1_RNAseq_ex,gc_5utr,len_5utr,gc_cds,len_cds,gc_3utr,len_3utr,gc_intron,len_intron,exonJunDen
ENST00000000442,7.0418831225996525,7.213709529291629,1.1352217058305725,-0.08565598122755053,1.521971919397471,-0.30846137726711775,1.3809091663677306,-0.5266639142189227,1.2656510857311676,-0.5121557865709276,-0.3384519275336707
ENST00000001008,6.254348504169909,7.438465376899382,1.177284312543355,-0.2907049176980859,0.15499753816837503,-0.2425938742407239,0.352306166526651,0.11636018206457925,0.8089375701208776,-0.5352278634468836,-0.4427969348200361
ENST00000002125,4.5372046501581655,4.951098139159704,-0.26936891118556133,-0.7455407404145462,-0.831918904221172,-0.2755276257539208,-0.5303904675328549,-0.5113758773476291,-0.8293555480416867,-0.4455321590537248,0.37793695398273525
ENST00000002165,6.773500259020773,7.458919695561741,1.2081874521690725,-0.7157154405642865,-0.3985851104108354,-0.2279566513459697,-0.8433912049283303,-0.4715343267133487,-0.8573590178101246,-0.4538431246705734,-0.382832763095793
ENST00000002501,4.728784213606326,1.0168869375516738,1.6459819302000758,-0.43237509198681945,1.8149859992508655,-0.7933193856558504,1.557523921287468,-0.20561513992175637,1.6104066639291814,-0.47468849000390195,-0.9162197108632935
ENST00000003302,4.748004449966521,3.956957120339763,1.4461192337076616,-0.6672493283076145,-0.7793302207498053,0.8881315943790374,-0.533761874996083,-0.2537956197585606,-0.5551245569443926,0.15776031237107682,0.8705933254921593
ENST00000005257,4.665627980106093,4.796619698988514,0.20848150491271128,0.1604027425370919,-1.1278945418854007,-0.7054960482873253,-0.7154631989578883,-0.017989232864970867,-0.7758157214880491,0.24906593966359994,-0.9199730445259869
ENST00000005260,4.1789881339505675,2.4944344712923296,0.9764139049761886,-0.03718986897087853,-0.30564617437560515,-0.14745192542482163,0.6556826435801973,-0.019842328243309486,0.13170542373514993,0.5003184524124551,0.11003253392422337
ENST00000005340,6.764832138384558,5.042275578025259,0.762667189231641,0.02618889321092331,1.0937817375764323,0.26421996849014,0.6373131524676459,-0.6443354707434252,0.9118886183614477,-0.5409984961770727,0.6500033555366233
ENST00000005374,1.0435615226638153,7.061404401076482,0.1833503785964979,-0.43237509198681945,-0.3851675481700569,-0.8738241115769985,-0.8106063136926793,-0.6295107077167162,-0.7161844084126291,-0.5305444513760054,-0.6770057906471459
ENST00000005386,5.625488925602795,5.931346349631471,0.47423788605827455,-0.6075987286070951,-1.6568568800931271,0.13431461529919655,-1.113800709977391,0.15851810192178292,-1.1582013000483535,-0.1828847374717061,0.16848783550047125
ENST00000006275,5.122497950185173,5.5836553850199735,1.2427501741188889,-0.8536574523717375,1.340101111212606,-0.7658745927281863,1.7991254434223913,-0.764323396490851,1.4148276636050932,-0.4540417515217937,1.3881313319263018
