V1,H3K27ac,H3K27me3,H3K36me3,H3K4me1,H3K4me2,H3K4me3,H3K79me2,H3K9ac,H3K9me1,H3K9me3,H4K20me1,K562_AB_1_PROseq,K562_AB_2_PROseq,total_RNA_1_RNAseq_ex,total_RNA_2_RNAseq_ex,total_RNA_3_RNAseq_ex,total_RNA_4_RNAseq_ex
ENST00000005257,0.567538967995913,-0.282474256080024,-0.268842064272147,-0.277108157706115,0.371547372268797,-0.354269628513843,-0.116198497374742,-0.397000783088021,0.529959660714268,0.43957888086937,0.489424619985445,4.315705881598136,4.34805981548076,4.796619698988514,4.8135941284109824,4.86233754612618,4.877931975896498
ENST00000005386,-0.451264055611287,-0.492448205091391,0.249932440687313,-0.408361145995479,-0.522650552659913,-0.342458961794575,-0.11474664099397,-0.334962161653623,0.685781388769989,0.199891832514841,-0.306800531990989,5.906763371882935,6.134185637277133,5.931346349631471,6.056855298708454,6.10588635310586,6.066702937295274
ENST00000008527,-0.421793311174654,-0.327537158379267,-0.530864150985347,-0.153817207309305,0.410034344382734,-0.320555543515205,-0.110024895684824,-0.429497203839373,3.02594090029618,0.314462241628306,2.45250489476328,7.925071250725291,7.985521362236015,5.223600240104295,5.197184340439611,5.228921110838124,5.263374567859758
ENST00000009041,0.99765758592946,0.158566915359378,0.161381345076222,0.0641335269211937,1.37764487315766,-0.261860108910358,-0.157291172265203,0.370738347390185,0.85592562976983,0.604116989945685,0.049886002187177,6.571674701862145,6.643563027777683,6.21301892468279,6.105341557880611,6.145627048888786,6.1123471350860115
ENST00000011619,0.829021324761849,0.246775149647259,0.163846428084565,-0.426134988159663,2.11218859968929,0.114935949333441,1.73422715029247,-0.239442379445106,-0.355666229607385,0.662346843457697,1.91299763325989,11.963337503370871,12.104887634971227,6.240604756354689,6.275286740404105,6.237672808722594,6.16389480723394
ENST00000013125,-0.20895772854334,-0.733103279072456,-0.113851815244566,-0.453479360719947,0.339322580684863,-0.319601146204557,0.457328457204362,-0.608988453443944,-0.695465273215091,-0.807780717243875,0.500225443996315,5.8221986627887565,5.9096214480938025,4.3224040656087945,4.458686772824028,4.379863932856362,4.414875816453921
ENST00000019317,2.14843341633308,-0.68708159161791,-0.173722334297506,-0.218398181326682,1.84913305026395,-0.0232369213156118,1.38505954520285,0.057680541970142,0.560304841016738,-0.741627091898025,-0.219249784818135,8.327352414818222,8.263859153775847,6.043216341148136,6.178234763302745,6.204207448286075,6.186603400188568
ENST00000025008,-0.0936603210661494,-0.510665123042149,-0.254538678433316,-0.386485647947251,-0.0240628992279531,-0.282522810685885,0.341228770231538,-0.528508337037705,-0.638793459407423,-0.126787515154243,1.37721268963595,8.026647942295291,8.004069818313015,5.702083194413493,5.803084407945113,5.767486274968705,5.849935353049699
ENST00000025301,1.07673322646649,-0.54230503316715,-0.535307204790804,-0.513476131102217,0.121013043391658,-0.292114503657897,0.441378594274362,-0.254303001606881,-1.02166308150896,-0.438521670396516,-0.880540913664425,8.328697496938842,8.35033713349358,4.0850920181811965,4.228346686004139,4.252893078196173,4.20496361133182
ENST00000033079,-0.416975520580793,-0.00538534619744281,0.0583940148414185,-0.149876400675617,-0.438406323614106,-0.209845455480046,0.479187247121237,-0.322071019537385,0.35128888772791,-0.374793114010488,-0.0241484595709444,9.911689227109674,9.937603078855279,4.89044345502525,5.022530832467204,4.830568527853248,5.0844975542276645
ENST00000038176,0.898593890340468,-0.406157541114117,0.450209364383143,-0.274293295824909,1.66783444453849,-0.212517767949861,1.37102921628424,-0.123153534938204,-0.429056228488316,-0.771996850848358,0.113821388387113,6.507751561078848,6.442293460053146,5.937307865088574,6.087871491685803,5.998275605938076,5.906294858284543
